Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Fortaleza,-3.78,-38.53,-3,25,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,3,4,25.5,23.5,23.25,100.9,0.017520746,89,1.144937773,70.1,2,110,4,0,0,0,0,0
1,3,5,24.8,23.2,22.94,100.9,0.017350821,91,1.147932705,69.0,0,0,1,0,0,0,0,0
1,3,6,23.7,22.6,22.32,101.0,0.016883396,94,1.154172214,66.6,0,0,3,0,0,0,0,0
1,3,7,23,21.7,21.43,101.0,0.015850845,93,1.158773174,63.3,1,210,3,113,84,68,160,16
1,3,8,25.7,23.6,23.36,101.1,0.017555082,89,1.146377923,70.4,1,190,1,436,270,163,292,107
1,3,9,26.5,24,23.78,101.1,0.017848067,87,1.142793796,72.0,2,150,6,738,314,62,87,251
1,3,10,29,24,23.89,101.2,0.016776846,76,1.136361856,71.8,5,150,9,991,496,169,197,327
1,3,11,30.1,24.1,24.04,101.2,0.016473556,72,1.13277772,72.2,6,110,8,1180,731,442,463,290
1,3,12,30.2,24,23.95,101.2,0.016273256,71,1.13275968,71.8,5,150,6,1290,858,597,598,261
1,3,13,30.4,24.2,24.15,101.1,0.016526125,71,1.130446869,72.6,6,120,5,1315,980,796,809,184
1,3,14,30.3,24.3,24.24,101.1,0.016727917,72,1.130462125,73.1,3,130,1,1253,927,749,819,178
1,3,15,30.4,24.3,24.25,101.1,0.016685939,71,1.13016399,73.0,2,120,0,1108,820,662,831,158
1,3,16,29.5,24.1,24.01,101.0,0.016764015,74,1.132265184,72.3,4,120,0,890,623,471,730,152
1,3,17,29,23.8,23.7,101.0,0.016499646,75,1.134608476,71.1,3,130,4,613,307,105,213,202
1,3,18,28.2,24.1,23.95,101.0,0.017310456,79,1.136177676,72.4,2,110,8,298,149,51,129,98
1,3,19,27.3,24,23.81,101.0,0.01753023,83,1.139189467,72.0,2,100,8,26,19,15,36,4
1,3,20,26.7,23.7,23.5,101.0,0.017309343,84,1.141863393,70.8,3,100,0,0,0,0,0,0
1,3,21,26.4,23.8,23.58,101.0,0.01759291,86,1.142500188,71.2,3,90,0,0,0,0,0,0
1,3,22,26.3,23.8,23.58,101.1,0.017616036,87,1.143971923,71.2,3,90,0,0,0,0,0,0
1,3,23,26,23.5,23.28,101.1,0.017272841,87,1.145733935,70.0,3,90,0,0,0,0,0,0
1,3,24,26,23.5,23.28,101.1,0.017272841,87,1.145733935,70.0,3,100,1,0,0,0,0,0
1,4,1,26,23.5,23.28,101.1,0.017272841,87,1.145733935,70.0,3,90,1,0,0,0,0,0
1,4,2,26,22.4,22.22,101.0,0.015619073,81,1.147569524,65.8,2,90,1,0,0,0,0,0
1,4,3,26,22.4,22.22,100.9,0.015636474,81,1.14640203,65.8,2,100,3,0,0,0,0,0
1,4,4,25.5,22.5,22.3,100.9,0.015995047,84,1.14767591,66.2,2,100,1,0,0,0,0,0
1,4,5,25.4,22.5,22.29,100.8,0.016054554,85,1.146815537,66.3,2,100,1,0,0,0,0,0
1,4,6,24.7,22.8,22.55,100.9,0.01678212,90,1.149340498,67.4,0,0,1,0,0,0,0,0
1,4,7,23.1,22.1,21.81,101.0,0.016392441,94,1.157399235,64.8,0,0,4,111,55,19,44,37
1,4,8,24.3,23,22.72,101.1,0.017218431,93,1.152380173,68.1,0,0,8,434,184,37,66,148
1,4,9,28.2,24,23.86,101.1,0.017132255,79,1.137619719,71.9,4,120,9,736,313,62,87,250
1,4,10,28.6,23.7,23.59,101.2,0.01647305,76,1.138409663,70.6,5,110,9,990,421,84,98,337
1,4,11,30.1,24.6,24.52,101.2,0.017275774,74,1.131356141,74.2,4,120,9,1179,590,201,211,389
1,4,12,30.3,24.2,24.15,101.1,0.016568084,71,1.130745094,72.6,5,110,8,1290,800,483,484,317
1,4,13,30.5,24.5,24.44,101.1,0.016965647,72,1.129297205,73.9,4,100,6,1316,658,224,228,434
1,4,14,30,23.9,23.84,101.0,0.01623754,71,1.131330184,71.5,3,100,8,1255,778,470,514,308
1,4,15,30.1,24,23.95,101.0,0.016353548,71,1.130751575,71.9,5,120,6,1110,738,513,645,225
1,4,16,29.9,23.8,23.74,100.9,0.016141177,71,1.130753733,71.1,5,90,5,892,446,152,236,294
1,4,17,29.4,23.9,23.82,100.9,0.016508327,73,1.131971133,71.6,5,90,8,616,262,52,107,210
1,4,18,27.8,23.8,23.65,100.9,0.017022734,80,1.13707314,71.2,5,90,9,300,150,51,130,99
1,4,19,27,24,23.8,100.9,0.017675875,84,1.138939659,72.1,4,90,8,27,19,15,36,4
1,4,20,26.6,24,23.78,100.9,0.017844449,86,1.14015903,72.1,3,80,3,0,0,0,0,0
1,4,21,26.5,23.7,23.49,101.0,0.01739354,85,1.142475055,70.8,2,60,0,0,0,0,0,0
1,4,22,26.4,23.8,23.58,101.1,0.017573905,86,1.143665362,71.2,2,90,0,0,0,0,0,0
1,4,23,26.3,23.8,23.58,101.1,0.017616036,87,1.143971923,71.2,0,0,0,0,0,0,0,0
1,4,24,26.2,23.8,23.57,101.1,0.017658173,87,1.144278687,71.2,0,0,0,0,0,0,0,0
1,5,1,26,24,23.75,101.1,0.018058941,89,1.144326711,72.0,0,0,1,0,0,0,0,0
1,5,2,25.7,23.5,23.26,101.1,0.017399159,88,1.146657493,70.0,2,80,1,0,0,0,0,0
1,5,3,25.5,23.4,23.16,101.1,0.017328109,89,1.147552907,69.6,1,110,1,0,0,0,0,0
1,5,4,25.2,23,22.76,101.0,0.016857764,88,1.148415515,68.1,0,0,0,0,0,0,0,0
1,5,5,24.9,22.4,22.18,100.9,0.016097715,87,1.149801242,65.9,0,0,0,0,0,0,0,0
1,5,6,24.5,21.8,21.59,101.0,0.015366921,86,1.153808979,63.6,0,0,0,0,0,0,0,0
1,5,7,22.8,21.8,21.52,101.1,0.016063043,94,1.160318307,63.6,0,0,5,109,46,9,22,37
1,5,8,24.4,22.8,22.54,101.1,0.016872578,91,1.152616546,67.3,0,0,9,432,184,37,67,147
1,5,9,27.1,23.1,22.94,101.1,0.016194156,80,1.143465947,68.4,3,120,9,734,312,62,88,250
1,5,10,28.8,23.8,23.69,101.1,0.016564623,75,1.136368467,71.1,3,120,9,989,420,84,99,337
1,5,11,29,23.6,23.51,101.2,0.016149354,74,1.137479296,70.2,4,110,9,1179,589,201,212,389
1,5,12,29.7,24.3,24.21,101.1,0.016979912,74,1.132255045,73.1,4,100,8,1291,645,220,221,425
1,5,13,30.1,24.4,24.33,101.1,0.016972457,73,1.130774746,73.5,4,110,8,1317,817,493,500,323
1,5,14,30.6,24,23.97,101.1,0.016124743,69,1.130413163,71.8,4,120,6,1256,779,470,511,308
1,5,15,29.8,23.6,23.55,101.0,0.015851518,71,1.132762216,70.3,3,130,6,1112,739,514,639,225
1,5,16,30.2,23.8,23.76,100.9,0.016015462,70,1.129858061,71.1,3,110,5,894,626,473,723,153
1,5,17,29,23.7,23.61,100.9,0.016361755,74,1.133729954,70.8,4,90,4,618,448,354,712,94
1,5,18,28,23.7,23.56,100.9,0.016781573,78,1.136747005,70.8,3,120,3,302,225,183,289,42
1,5,19,27.7,23.2,23.07,100.9,0.016132009,77,1.139038864,68.9,3,130,1,28,21,17,40,4
1,5,20,27,23.1,22.94,100.9,0.016272465,80,1.141444042,68.5,3,110,0,0,0,0,0,0
1,5,21,25.6,23,22.78,100.9,0.01670769,86,1.146011587,68.2,2,150,0,0,0,0,0,0
1,5,22,25,23,22.75,101.0,0.016941886,89,1.149034569,68.1,0,0,1,0,0,0,0,0
1,5,23,24.9,23.1,22.84,101.0,0.017136832,90,1.149069478,68.5,0,0,1,0,0,0,0,0
1,5,24,23.6,22.3,22.03,101.0,0.016477743,93,1.155294733,65.5,0,0,3,0,0,0,0,0
1,6,1,23,22,21.71,100.9,0.016304623,94,1.156802863,64.5,0,0,3,0,0,0,0,0
1,6,2,23,22,21.71,100.9,0.016304623,94,1.156802863,64.5,0,0,4,0,0,0,0,0
1,6,3,22.9,22,21.71,100.9,0.016346637,95,1.157117443,64.5,2,230,5,0,0,0,0,0
1,6,4,22.9,22,21.71,101.0,0.016329644,95,1.158295075,64.4,0,0,4,0,0,0,0,0
1,6,5,22.8,21.9,21.61,101.0,0.016225413,95,1.158875695,64.0,1,220,3,0,0,0,0,0
1,6,6,22.9,22,21.71,101.0,0.016329644,95,1.158295075,64.4,0,0,8,0,0,0,0,0
1,6,7,23,22,21.71,100.9,0.016304623,94,1.156802863,64.5,0,0,6,107,78,61,148,16
1,6,8,27.5,23,22.87,100.9,0.015910212,77,1.140192901,68.1,0,0,3,430,266,161,294,105
1,6,9,27.5,23.8,23.63,101.0,0.017129864,81,1.139144826,71.2,4,120,6,733,366,125,177,241
1,6,10,29,23.8,23.7,101.0,0.016499646,75,1.134608476,71.1,6,130,8,988,494,168,199,326
1,6,11,29.8,24.2,24.12,101.1,0.01677797,73,1.132239152,72.7,5,110,8,1178,784,545,574,239
1,6,12,29.6,23.8,23.73,101.0,0.016247947,72,1.132806449,71.1,5,120,5,1291,858,597,599,261
1,6,13,30,23.4,23.36,101.0,0.015457947,69,1.132713837,69.5,6,130,5,1318,923,697,707,225
1,6,14,30.3,23.8,23.76,100.9,0.01597357,70,1.129559895,71.1,6,140,4,1257,912,721,783,191
1,6,15,30,23.9,23.84,100.9,0.016256657,71,1.130176202,71.5,5,120,3,1114,830,674,838,156
1,6,16,29.4,24.1,24.01,100.9,0.016825385,74,1.131409292,72.4,5,110,1,896,668,543,830,125
1,6,17,28.4,24.3,24.15,100.8,0.017585583,79,1.132688276,73.3,4,120,1,621,459,371,747,88
1,6,18,28.3,24.4,24.24,100.8,0.017788978,80,1.132703794,73.7,5,100,0,305,226,182,293,43
1,6,19,27,23.3,23.13,100.9,0.016579651,81,1.140894927,69.3,6,100,0,29,21,16,40,4
1,6,20,26.7,23.3,23.12,100.9,0.01670568,82,1.141811037,69.3,4,100,3,0,0,0,0,0
1,6,21,26.7,23.2,23.02,101.0,0.016533385,82,1.143251079,68.8,5,110,3,0,0,0,0,0
1,6,22,26.6,23.2,23.02,101.0,0.016575386,82,1.143557255,68.9,3,110,3,0,0,0,0,0
1,6,23,26.4,23.2,23.01,101.0,0.016659409,83,1.144170217,68.9,4,110,1,0,0,0,0,0
1,6,24,26.4,23.5,23.29,101.0,0.017123146,85,1.143339984,70.0,4,120,3,0,0,0,0,0
1,7,1,26.2,23.5,23.28,101.0,0.017207305,86,1.143953224,70.0,3,110,3,0,0,0,0,0
1,7,2,25.8,22.5,22.31,100.9,0.015869237,83,1.14675035,66.2,3,120,3,0,0,0,0,0
1,7,3,25.8,22.4,22.22,100.9,0.01572028,82,1.147018218,65.8,4,120,3,0,0,0,0,0
1,7,4,25.6,22.4,22.21,100.8,0.015821552,83,1.146466476,65.9,3,120,3,0,0,0,0,0
1,7,5,25.4,22.4,22.2,100.8,0.015905411,84,1.147083677,65.9,3,110,1,0,0,0,0,0
1,7,6,24.2,22.5,22.24,100.8,0.016558441,91,1.15053503,66.3,0,0,1,0,0,0,0,0
1,7,7,24.4,21.9,21.68,100.9,0.015571013,87,1.152684858,64.0,3,120,1,105,73,56,134,18
1,7,8,25.3,22,21.81,100.9,0.015340021,83,1.149625376,64.4,3,130,4,428,284,198,362,87
1,7,9,28,23.3,23.18,101.0,0.016141542,77,1.139014912,69.2,6,100,5,731,311,62,88,249
1,7,10,28.4,23.4,23.29,101.0,0.016128051,75,1.137528082,69.6,4,180,9,987,493,168,198,325
1,7,11,29,23.2,23.12,101.0,0.015569046,72,1.136264641,68.8,6,130,8,1178,783,545,574,239
1,7,12,30.5,23.8,23.77,101.0,0.015870816,69,1.130116682,71.1,5,100,5,1291,904,683,686,221
1,7,13,31.4,24.3,24.3,101.0,0.016286059,67,1.126043913,73.1,5,130,4,1319,956,756,766,200
1,7,14,30.5,24,23.96,100.9,0.016205079,70,1.128406407,71.9,5,120,3,1259,837,582,633,255
1,7,15,30.3,24.2,24.15,100.8,0.016626541,71,1.127286566,72.8,7,130,5,1116,781,590,734,191
1,7,16,30.2,23.7,23.66,100.7,0.015896642,70,1.127828552,70.8,5,130,4,899,670,544,833,126
1,7,17,29.5,23.3,23.24,100.7,0.015568486,71,1.131018974,69.3,5,120,1,623,464,377,761,87
1,7,18,28,23.2,23.08,100.7,0.016042931,76,1.135807222,68.9,5,110,1,307,229,186,302,43
1,7,19,27,23,22.84,100.7,0.016156123,80,1.139389211,68.2,4,110,1,30,22,18,43,4
1,7,20,26.8,23,22.83,100.8,0.016221877,81,1.141163566,68.2,3,120,0,0,0,0,0,0
1,7,21,26.4,23,22.82,100.8,0.01638976,82,1.142386886,68.2,2,120,1,0,0,0,0,0
1,7,22,26.3,22.8,22.62,100.9,0.016110108,82,1.14440342,67.4,3,110,1,0,0,0,0,0
1,7,23,26.4,22.9,22.72,100.9,0.016219574,82,1.143825149,67.7,2,100,4,0,0,0,0,0
1,7,24,26.3,23,22.81,100.9,0.016413623,83,1.14385932,68.1,2,130,4,0,0,0,0,0
1,8,1,26.1,23.1,22.9,100.8,0.016668627,84,1.1430328,68.6,3,130,1,0,0,0,0,0
1,8,2,26,23.2,22.99,100.8,0.016864217,85,1.143064817,69.0,4,120,3,0,0,0,0,0
1,8,3,26,23,22.8,100.8,0.016557742,84,1.143613457,68.2,2,130,1,0,0,0,0,0
1,8,4,25.6,23.1,22.88,100.8,0.016878805,87,1.144569143,68.6,2,130,1,0,0,0,0,0
1,8,5,24.9,22.5,22.27,100.8,0.016264399,87,1.148361707,66.3,2,120,1,0,0,0,0,0
1,8,6,24.8,22.4,22.17,100.9,0.016139683,87,1.150111498,65.9,2,120,6,0,0,0,0,0
1,8,7,26,22.5,22.32,100.9,0.015785394,82,1.146134335,66.2,4,130,9,103,35,3,7,32
1,8,8,24.7,22.9,22.65,101.0,0.016915855,90,1.150238761,67.8,3,190,10,426,145,12,23,132
1,8,9,25,23,22.75,101.1,0.016923819,89,1.150204752,68.1,3,200,10,729,248,21,30,227
1,8,10,27.5,23.2,23.06,101.1,0.016179324,78,1.141971164,68.8,3,160,10,986,419,83,99,336
1,8,11,29,23.5,23.41,101.1,0.016012733,73,1.136598651,69.9,7,140,9,1178,501,100,105,401
1,8,12,29.9,23.5,23.45,101.0,0.015654377,70,1.132738542,69.9,5,120,9,1292,439,37,38,402
1,8,13,32,24.4,24.42,101.0,0.016195016,66,1.123990163,73.4,5,120,10,1320,561,112,113,449
1,8,14,31.8,24.3,24.32,100.9,0.016138041,66,1.123714061,73.1,6,120,9,1260,429,37,40,392
1,8,15,30,24.1,24.04,100.8,0.016592893,72,1.128461598,72.4,6,120,10,1118,475,95,118,380
1,8,16,28.5,23.6,23.49,100.8,0.01643408,76,1.134355162,70.4,6,120,9,901,383,76,117,307
1,8,17,28.5,24.6,24.44,100.7,0.018049447,80,1.130369602,74.6,5,60,9,625,266,53,107,213
1,8,18,27.5,23.5,23.34,100.7,0.016716824,80,1.136495729,70.1,3,60,9,309,105,9,23,96
1,8,19,26.9,24,23.79,100.8,0.017737333,85,1.138080737,72.1,3,40,10,30,19,11,28,7
1,8,20,26.5,24,23.78,100.8,0.017905937,87,1.139299669,72.1,1,60,6,0,0,0,0,0
1,8,21,26.3,23.8,23.58,100.8,0.017673173,87,1.140475463,71.3,3,90,4,0,0,0,0,0
1,8,22,26.5,23.8,23.58,100.9,0.017569827,86,1.141029281,71.3,4,100,8,0,0,0,0,0
1,8,23,26.7,24,23.78,101.0,0.017783009,86,1.141017969,72.0,3,90,6,0,0,0,0,0
1,8,24,26.4,23.8,23.58,101.0,0.01759291,86,1.142500188,71.2,2,120,5,0,0,0,0,0
1,9,1,26.2,23.7,23.48,100.9,0.017538805,87,1.142228195,70.9,2,120,3,0,0,0,0,0
1,9,2,26.2,23.4,23.19,100.9,0.017070585,85,1.1430651,69.7,2,130,4,0,0,0,0,0
1,9,3,25.6,23,22.78,100.8,0.016725823,86,1.144843295,68.2,2,120,4,0,0,0,0,0
1,9,4,25.6,23,22.78,100.8,0.016725823,86,1.144843295,68.2,1,110,5,0,0,0,0,0
1,9,5,25.4,22.9,22.68,100.8,0.016657535,87,1.145732729,67.8,3,120,4,0,0,0,0,0
1,9,6,24,22.6,22.33,100.8,0.016792544,92,1.150887459,66.7,2,120,9,0,0,0,0,0
1,9,7,24.2,23,22.72,100.9,0.017296736,93,1.150346349,68.2,5,120,10,101,34,3,7,31
1,9,8,23.5,22.8,22.5,101.0,0.017269279,96,1.154253152,67.4,3,120,10,423,144,12,23,132
1,9,9,24,23.1,22.8,101.1,0.017497712,95,1.153039806,68.5,2,190,10,728,247,21,30,226
1,9,10,24.2,23.2,22.91,101.1,0.017566977,94,1.152139467,68.9,2,180,10,985,335,29,34,306
1,9,11,25,24.1,23.8,101.1,0.018640613,95,1.147122269,72.5,4,170,10,1177,400,34,36,366
1,9,12,23.4,22.2,21.92,101.1,0.016396619,93,1.157365577,65.1,4,160,10,1292,549,109,110,440
1,9,13,24,23,22.71,101.1,0.017344787,94,1.153315616,68.1,3,130,9,1321,449,38,39,411
1,9,14,24.7,23.2,22.93,101.1,0.017356292,92,1.150584415,68.9,3,140,10,1262,429,37,40,392
1,9,15,27,24.3,24.08,101.0,0.018136269,86,1.139248446,73.2,3,130,10,1120,381,32,40,348
1,9,16,27.5,24.8,24.59,100.9,0.018758692,86,1.135123942,75.3,4,100,10,903,307,26,40,281
1,9,17,27.4,24.7,24.49,100.8,0.018656992,86,1.134556334,75.0,2,120,10,628,439,332,674,107
1,9,18,27.5,24.3,24.11,100.8,0.017964758,84,1.135405842,73.3,4,90,4,312,218,165,314,53
1,9,19,27,24.3,24.08,100.8,0.018175628,86,1.136922601,73.3,4,110,4,31,22,17,41,5
1,9,20,26,23.9,23.66,100.9,0.017938669,89,1.142277612,71.7,2,110,4,0,0,0,0,0
1,9,21,26.1,23.9,23.66,100.9,0.017896498,88,1.141971157,71.7,2,100,1,0,0,0,0,0
1,9,22,25.8,24,23.74,100.9,0.018181895,90,1.142607504,72.1,1,90,1,0,0,0,0,0
1,9,23,25.7,24,23.74,100.9,0.018224104,91,1.14291448,72.1,0,0,1,0,0,0,0,0
1,9,24,25.5,23.8,23.54,100.9,0.017991382,91,1.144095768,71.3,0,0,1,0,0,0,0,0
1,10,1,25.3,23.5,23.24,100.9,0.017605019,90,1.145554066,70.1,0,0,3,0,0,0,0,0
1,10,2,25.2,23.2,22.95,100.9,0.017182399,89,1.146695748,69.0,0,0,1,0,0,0,0,0
1,10,3,25,23.1,22.85,100.9,0.017112965,90,1.147589624,68.6,0,0,0,0,0,0,0,0
1,10,4,24.6,23,22.74,100.8,0.017146459,91,1.147932262,68.2,0,0,0,0,0,0,0,0
1,10,5,24,22.7,22.42,100.8,0.016943222,93,1.15061604,67.1,2,140,3,0,0,0,0,0
1,10,6,23.4,22.8,22.49,100.7,0.017365191,97,1.151040046,67.6,0,0,3,0,0,0,0,0
1,10,7,23,22.6,22.29,100.9,0.017195735,98,1.155190066,66.7,0,0,3,99,66,46,113,20
1,10,8,25.4,22.5,22.29,100.9,0.016036996,85,1.147984841,66.2,1,90,5,421,211,72,132,139
1,10,9,27.6,24,23.83,100.9,0.0174232,82,1.137116649,72.0,4,100,8,726,363,124,176,239
1,10,10,28.6,24.6,24.45,101.0,0.017947116,80,1.133542658,74.4,4,120,8,984,610,369,435,242
1,10,11,29.7,24.5,24.41,101.0,0.017321729,75,1.130530312,74.0,3,110,6,1177,730,441,465,289
1,10,12,29.7,24.5,24.41,101.0,0.017321729,75,1.130530312,74.0,5,100,6,1292,859,598,600,262
1,10,13,29.8,24.5,24.41,101.0,0.017279675,74,1.130231487,73.9,3,130,5,1322,879,611,619,268
1,10,14,29.7,24.2,24.12,100.9,0.016858914,74,1.130229207,72.8,4,110,5,1264,840,584,635,256
1,10,15,29.4,24.2,24.1,100.9,0.016984947,75,1.131126752,72.8,4,120,5,1121,746,519,646,227
1,10,16,29.3,24.2,24.1,100.8,0.01704651,75,1.13027043,72.8,4,110,5,905,634,479,736,155
1,10,17,28.8,24,23.88,100.8,0.016937816,76,1.132334655,72.0,5,90,4,630,441,333,679,108
1,10,18,28.4,24.2,24.06,100.8,0.017425012,79,1.132972729,72.9,4,100,4,314,220,166,322,54
1,10,19,27,23.8,23.61,100.8,0.017378357,83,1.138340354,71.3,5,100,4,32,23,17,42,6
1,10,20,26.5,23.6,23.39,100.8,0.017274607,85,1.140424867,70.5,3,90,4,0,0,0,0,0
1,10,21,26.4,23.5,23.29,100.8,0.017160542,85,1.141009178,70.1,3,80,4,0,0,0,0,0
1,10,22,26.2,24,23.76,100.8,0.018032456,88,1.140215994,72.2,3,60,3,0,0,0,0,0
1,10,23,26,23.5,23.28,100.9,0.017310172,87,1.143400626,70.1,3,80,6,0,0,0,0,0
1,10,24,25.6,23.5,23.26,100.9,0.017478619,89,1.144629934,70.1,2,100,4,0,0,0,0,0
