Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Vitoria,-20.27,-40.28,-3,5,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,3,3,23.2,22.2,21.5,101.0,0.016497846,92,1.156817672,65.2,5,30,0,0,0,0,0,0
1,3,4,23.0,21.6,20.7,101.0,0.015706477,89,1.159035517,62.9,8,30,0,0,0,0,0,0
1,3,5,22.5,21.2,20.3,101.0,0.015344473,89,1.16165513,61.5,5,360,0,0,0,0,0,0
1,3,6,22.8,21.4,20.5,101.0,0.015503381,89,1.160188295,62.2,5,20,5,15,11,9,24,2
1,3,7,23.1,21.6,20.7,101.0,0.015664543,88,1.158720481,62.9,4,360,5,255,132,49,115,83
1,3,8,26.0,23.1,21.6,101.1,0.016656027,78,1.146840541,68.4,5,30,9,564,291,108,193,182
1,3,9,27.4,24.1,22.5,101.0,0.017647248,76,1.138602087,72.4,8,20,9,848,365,76,105,289
1,3,10,28.1,24.5,22.9,101.0,0.017995439,75,1.135338322,74.0,8,30,10,1086,467,97,113,370
1,3,11,30.5,26.0,24.1,100.9,0.019513503,70,1.122586681,80.4,8,20,10,1263,543,113,118,430
1,3,12,32.4,26.5,24.2,100.8,0.019605017,63,1.114341478,82.6,8,40,10,1367,588,122,122,466
1,3,13,33.5,27.0,24.5,100.8,0.020030885,61,1.109607623,84.8,8,20,10,1391,598,124,126,474
1,3,14,34.6,26.5,23.4,100.7,0.018698841,53,1.106841169,82.5,8,20,10,1332,573,119,130,454
1,3,15,35.0,26.5,23.3,100.6,0.018552932,52,1.104558251,82.6,8,350,10,1196,616,229,288,386
1,3,16,35.6,26.5,23.0,100.5,0.018322958,49,1.101711464,82.6,8,20,9,991,510,190,295,320
1,3,17,31.6,26.0,23.8,100.4,0.019158486,65,1.113608205,80.6,11,60,9,731,376,140,286,236
1,3,18,30.0,25.0,22.9,100.4,0.018137006,67,1.121272211,76.3,11,50,9,434,224,83,212,140
1,3,19,27.8,24.5,23.0,100.5,0.018221855,77,1.13044404,74.3,8,60,9,123,72,39,91,33
1,3,20,26.7,23.3,21.7,100.5,0.016779798,75,1.137152565,69.5,8,50,8,0,0,0,0,0
1,3,21,26.6,23.3,21.7,100.6,0.016803237,76,1.138622022,69.4,7,30,9,0,0,0,0,0
1,3,22,27.2,24.6,23.3,100.9,0.018557789,81,1.136614133,74.5,11,190,9,0,0,0,0,0
1,3,23,24.9,23.6,22.8,101.1,0.017892351,90,1.148849056,70.5,8,180,10,0,0,0,0,0
1,3,24,23.5,22.4,21.6,101.1,0.016651001,91,1.156514572,65.9,7,170,10,0,0,0,0,0
1,4,1,22.8,22.2,21.6,101.0,0.016666026,95,1.158076151,65.2,3,180,10,0,0,0,0,0
1,4,2,22.6,22.1,21.6,100.9,0.016619731,96,1.157795842,64.8,3,210,8,0,0,0,0,0
1,4,3,22.4,22.0,21.5,100.9,0.016556796,97,1.158693519,64.5,2,180,10,0,0,0,0,0
1,4,4,22.9,22.3,21.7,100.9,0.016789404,95,1.156315364,65.6,4,210,10,0,0,0,0,0
1,4,5,22.6,22.0,21.4,100.9,0.016472714,95,1.158062453,64.5,3,190,10,0,0,0,0,0
1,4,6,22.3,21.9,21.4,101.0,0.016435508,97,1.160454875,64.1,2,200,10,14,6,1,3,5
1,4,7,22.4,21.9,21.4,101.1,0.016376622,96,1.161317928,64.0,2,200,10,252,109,23,53,86
1,4,8,23.2,22.3,21.6,101.1,0.016628608,93,1.157725927,65.5,2,250,10,562,242,50,90,191
1,4,9,24.1,23.0,22.2,101.1,0.017302662,91,1.153003593,68.1,3,210,10,846,364,76,105,288
1,4,10,25.0,24.0,23.3,101.1,0.018481157,92,1.147407874,72.1,5,210,10,1085,466,97,113,370
1,4,11,24.4,23.8,23.2,101.2,0.01839871,95,1.15100697,71.2,3,190,10,1262,543,113,118,430
1,4,12,23.4,23.0,22.5,101.2,0.017579615,97,1.156367409,68.1,5,180,10,1367,588,122,122,466
1,4,13,24.7,24.0,23.4,101.2,0.018588706,94,1.149506597,72.0,7,180,10,1391,598,124,126,474
1,4,14,23.9,23.0,22.3,101.3,0.017350865,93,1.155975185,68.0,7,180,10,1333,573,119,130,454
1,4,15,23.7,22.5,21.7,101.2,0.016698555,90,1.156792403,66.2,7,180,10,1197,515,107,134,408
1,4,16,23.8,22.5,21.7,101.2,0.016656504,90,1.156478989,66.2,7,190,10,992,427,89,137,338
1,4,17,23.7,21.5,20.2,101.2,0.015236652,83,1.159446367,62.5,5,210,10,733,315,65,134,250
1,4,18,23.3,21.5,20.4,101.2,0.015404198,86,1.160705613,62.5,3,250,10,436,187,39,99,148
1,4,19,21.4,20.7,20.1,101.3,0.015056747,94,1.169984901,59.6,3,270,10,124,53,11,26,42
1,4,20,21.2,20.5,19.9,101.3,0.014864229,94,1.171133795,58.9,3,280,10,0,0,0,0,0
1,4,21,21.2,20.5,19.9,101.4,0.014848925,94,1.172318072,58.9,3,290,10,0,0,0,0,0
1,4,22,21.2,20.5,19.9,101.5,0.014833652,94,1.17350235,58.9,3,300,10,0,0,0,0,0
1,4,23,21.2,20.5,19.9,101.5,0.014833652,94,1.17350235,58.9,3,320,10,0,0,0,0,0
1,4,24,21.5,20.7,20.0,101.5,0.014983902,93,1.172031004,59.6,3,270,10,0,0,0,0,0
