Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Maceio,-9.52,-35.78,-3,115,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,3,2,22.1,21.3,20.7,99.9,0.015834761,93,1.149675642,62.33439256,0,0,0,0,0,0,0,0
1,3,3,21.8,21.0,20.3,99.9,0.015532445,93,1.151390756,61.25783002,0,0,0,0,0,0,0,0
1,3,4,21.5,21.0,20.5,99.9,0.015658229,96,1.152335687,61.26888722,0,0,0,0,0,0,0,0
1,3,5,21.2,20.8,20.3,99.9,0.015501382,97,1.153793958,60.56213318,0,0,0,0,0,0,0,0
1,3,6,20.8,20.4,19.9,100.0,0.015094891,97,1.157258475,59.11904611,0,0,0,0,0,0,0,0
1,3,7,21.0,20.5,20.0,100.0,0.015149784,96,1.156371987,59.46386124,0,0,4,161,111,82,210,29
1,3,8,23.0,21.5,20.6,100.1,0.015711963,88,1.148697597,62.94790097,0,0,3,486,347,270,308,77
1,3,9,25.0,22.0,20.4,100.1,0.015602641,77,1.141187737,64.72627379,4,60,6,783,478,278,171,200
1,3,10,27.9,23.4,21.3,100.1,0.016506,69,1.12859565,70.01274003,4,50,8,1034,507,162,429,344
1,3,11,28.5,23.5,21.2,100.1,0.016410211,66,1.126519815,70.38611977,3,20,6,1220,744,434,567,311
1,3,12,29.1,23.8,21.5,100.0,0.016649508,65,1.122739526,71.61494276,3,100,5,1330,871,589,680,282
1,3,13,30.5,24.0,21.2,100.0,0.016379964,59,1.11803495,72.36804709,5,100,4,1354,935,692,702,243
1,3,14,30.8,24.0,21.1,99.9,0.016273837,57,1.116000051,72.40559345,6,130,4,1293,892,660,786,232
1,3,15,31.0,24.0,21.0,99.8,0.016209694,56,1.114261803,72.44745725,4,140,3,1149,822,639,513,183
1,3,16,29.0,23.5,21.0,99.8,0.016257599,63,1.121553166,70.51125857,6,100,6,934,570,332,227,238
1,3,17,28.1,23.0,20.7,99.8,0.015859983,65,1.125605119,68.57024444,4,120,8,661,324,104,211,220
1,3,18,27.0,22.8,20.8,99.8,0.016015316,70,1.129455214,67.83481164,4,90,8,349,171,55,315,116
1,3,19,26.0,22.6,20.9,99.8,0.016131252,75,1.133024865,67.10130215,2,90,6,51,31,18,9,13
1,3,20,25.1,22.3,20.9,99.8,0.016057992,79,1.136574375,65.98855306,4,90,9,0,0,0,0,0
1,3,21,24.5,22.1,20.8,99.9,0.015994608,81,1.140119881,65.209837,3,90,3,0,0,0,0,0
1,3,22,24.0,21.8,20.6,99.9,0.015762655,83,1.142453686,64.10523716,3,60,0,0,0,0,0,0
1,3,23,22.8,21.7,20.9,99.9,0.016119977,91,1.146443682,63.7794629,3,60,0,0,0,0,0,0
1,3,24,23.2,21.6,20.6,99.9,0.015806567,87,1.145458879,63.39413923,0,0,0,0,0,0,0,0
1,4,1,22.9,21.4,20.5,99.9,0.015643081,88,1.146913619,62.66994351,0,0,0,0,0,0,0,0
1,4,2,22.5,21.6,20.9,99.8,0.016117228,93,1.146463177,63.46374692,0,0,0,0,0,0,0,0
1,4,3,22.2,21.1,20.3,99.8,0.015523279,91,1.148696931,61.64575421,0,0,0,0,0,0,0,0
1,4,4,21.9,20.9,20.2,99.8,0.0153652,92,1.150150103,60.93574415,0,0,0,0,0,0,0,0
1,4,5,21.6,20.7,20.0,99.8,0.015209347,92,1.151602352,60.2315579,0,0,0,0,0,0,0,0
1,4,6,21.3,20.5,19.8,99.8,0.015055696,93,1.153053712,59.53313356,0,0,0,0,0,0,0,0
1,4,7,21.8,21.0,20.3,99.8,0.015548741,93,1.15020881,61.29922817,0,0,0,158,115,92,216,23
1,4,8,23.5,22.0,21.1,99.9,0.016266425,88,1.143475997,64.87231008,4,30,0,483,353,281,307,72
1,4,9,25.5,22.4,20.8,99.9,0.016022075,77,1.136253383,66.30866491,3,20,6,782,477,278,171,199
1,4,10,28.0,22.3,19.6,100.0,0.014808794,61,1.130097846,65.78523073,4,50,8,1033,506,162,428,344
1,4,11,29.4,23.1,20.3,100.0,0.015432268,59,1.123768214,68.81504574,5,70,6,1220,744,433,201,311
1,4,12,30.4,23.5,20.5,99.9,0.015652148,56,1.118560199,70.40488629,5,60,8,1330,652,209,473,443
1,4,13,30.4,23.4,20.3,99.9,0.015496312,56,1.118833644,70.00659121,5,100,6,1355,827,481,703,345
1,4,14,32.1,24.1,20.7,99.8,0.015908919,52,1.110769954,72.80997619,6,100,4,1294,893,661,823,232
1,4,15,31.2,23.9,20.8,99.7,0.015986259,55,1.112803424,72.08191695,7,100,0,1151,840,670,841,171
1,4,16,30.2,23.8,21.0,99.6,0.016265923,59,1.114863246,71.7677446,6,100,0,936,683,544,845,139
1,4,17,29.9,23.4,20.5,99.6,0.015762421,58,1.116847968,70.17250514,6,100,0,663,484,386,788,98
1,4,18,27.8,22.5,20.0,99.6,0.015262581,64,1.125523389,66.737575,7,90,0,351,256,204,426,52
1,4,19,26.1,22.4,20.6,99.7,0.015806168,73,1.132088078,66.37586242,6,90,0,53,38,31,72,8
1,4,20,25.0,22.1,20.6,99.8,0.01580241,78,1.13741121,65.23491174,4,90,0,0,0,0,0,0
1,4,21,24.2,21.9,20.6,99.9,0.015825412,82,1.141572923,64.47062521,5,90,0,0,0,0,0,0
1,4,22,23.0,21.5,20.6,99.9,0.015745503,88,1.146342202,63.03317747,3,70,0,0,0,0,0,0
1,4,23,22.3,21.2,20.4,100.0,0.015591147,91,1.150486872,61.9210253,3,60,0,0,0,0,0,0
1,4,24,21.7,20.9,20.2,100.0,0.015416656,93,1.153143636,60.86090311,2,70,0,0,0,0,0,0
1,5,1,21.0,20.5,20.0,99.9,0.015165532,96,1.15518706,59.50384618,0,0,0,0,0,0,0,0
1,5,2,20.4,20.0,19.5,99.9,0.014728518,96,1.158342714,57.77835784,0,0,0,0,0,0,0,0
1,5,3,19.9,19.5,19.0,99.9,0.014263119,96,1.161167837,56.08438528,0,0,0,0,0,0,0,0
1,5,4,19.4,18.9,18.4,99.8,0.013694483,96,1.163027548,54.12944201,0,0,0,0,0,0,0,0
1,5,5,19.3,18.8,18.3,99.8,0.01360601,95,1.163587184,53.80261592,3,50,0,0,0,0,0,0
1,5,6,19.4,18.9,18.4,99.9,0.013680261,95,1.164218955,54.09337336,0,0,0,0,0,0,0,0
1,5,7,23.0,22.0,21.3,99.9,0.016476462,92,1.145029747,64.89165284,0,0,0,155,113,90,220,23
1,5,8,24.8,22.0,20.5,100.0,0.015703731,79,1.140632097,64.77799333,3,40,1,481,353,284,517,70
1,5,9,26.5,22.5,20.6,100.0,0.01573508,71,1.134105211,66.60608337,5,40,1,780,573,460,488,113
1,5,10,28.0,22.5,19.9,100.1,0.015089518,63,1.13072946,66.50150852,5,30,5,1031,676,457,30,219
1,5,11,28.8,22.6,19.7,100.0,0.014923181,59,1.126901284,66.89864203,5,60,10,1219,402,30,98,372
1,5,12,29.4,22.7,19.6,100.0,0.014823274,57,1.124842927,67.25963543,4,120,9,1330,552,101,474,451
1,5,13,30.5,23.0,19.6,99.9,0.014837911,53,1.119621577,68.4264791,4,120,6,1356,827,482,216,345
1,5,14,29.8,23.5,20.7,99.8,0.015922364,59,1.119179342,70.47828122,6,90,8,1295,635,203,500,431
1,5,15,30.5,23.7,20.7,99.7,0.015962604,57,1.115410114,71.30125309,6,100,6,1153,703,410,225,294
1,5,16,29.5,23.4,20.7,99.7,0.015910884,60,1.11918633,70.14033514,7,100,8,938,460,147,225,312
1,5,17,28.9,23.1,20.5,99.7,0.015697232,62,1.121785244,68.97761441,5,90,8,665,326,104,101,221
1,5,18,27.3,22.1,19.6,99.7,0.014857381,64,1.129246436,65.19042995,6,100,9,353,146,27,141,120
1,5,19,25.4,22.2,20.6,99.7,0.015800773,76,1.134752046,65.64215069,5,100,8,54,26,8,66,18
1,5,20,24.9,22.4,21.1,99.8,0.016291642,81,1.136920698,66.37761743,4,90,4,0,0,0,0,0
1,5,21,24.3,21.8,20.4,99.8,0.015654044,81,1.140353205,64.13737437,3,80,0,0,0,0,0,0
1,5,22,23.4,21.4,20.2,99.9,0.015433549,84,1.145356244,62.65117361,2,90,0,0,0,0,0,0
1,5,23,23.3,21.3,20.1,100.0,0.015315199,84,1.147102481,62.2474159,2,60,0,0,0,0,0,0
1,5,24,23.1,21.4,20.4,99.9,0.01555925,86,1.146290042,62.66243389,2,70,0,0,0,0,0,0
1,6,1,23.1,21.6,20.7,99.9,0.015848509,88,1.145770182,63.39793152,0,0,0,0,0,0,0,0
