Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Florianopolis,-27.67,-48.55,-3,7,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,3,5,23.2,22.2,21.5,100.7,0.016549586,92,1.153,65.3,6,10,1,0,0,0,0,0
1,3,6,22.4,21.3,20.5,100.7,0.015577257,91,1.158,62.0,4,20,0,44,33,27,70,6
1,3,7,23.5,23.0,22.5,100.7,0.017628073,96,1.150,68.3,4,40,1,311,238,197,458,41
1,3,8,25.0,24.0,23.3,100.7,0.018558482,92,1.143,72.3,5,30,0,604,459,379,676,81
1,3,9,27.0,24.5,23.3,100.7,0.018519401,82,1.135,74.2,6,30,0,873,664,547,762,117
1,3,10,28.8,25.5,24.0,100.7,0.019419967,77,1.127,78.4,5,30,0,1100,836,689,804,147
1,3,11,30.0,26.5,25.0,100.8,0.020621672,76,1.121,82.7,5,360,0,1268,963,794,833,169
1,3,12,31.4,27.3,25.7,100.8,0.02146621,73,1.115,86.3,3,360,0,1366,1038,856,867,182
1,3,13,32.5,27.7,25.9,100.8,0.021736452,70,1.110,88.1,3,360,1,1389,1062,879,854,183
1,3,14,32.4,28.0,26.3,100.8,0.022340875,72,1.110,89.6,2,330,3,1333,1013,835,730,178
1,3,15,32.0,27.5,25.7,100.8,0.021578563,71,1.112,87.2,3,150,5,1204,825,603,301,221
1,3,16,28.7,25.7,24.3,100.8,0.019781493,79,1.128,79.2,3,150,8,1009,525,201,163,324
1,3,17,28.0,25.3,24.0,100.8,0.019399547,81,1.131,77.5,3,120,9,762,339,79,643,260
1,3,18,30.5,26.5,24.8,100.8,0.020409572,73,1.120,82.7,5,120,6,481,308,199,47,109
1,3,19,27.3,25.6,24.7,100.8,0.02020419,87,1.132,78.8,2,120,10,183,66,7,5,59
1,3,20,27.2,25.2,24.2,100.9,0.019549489,85,1.135,77.1,3,120,8,2,1,0,0,1
1,3,21,27.1,25.1,24.1,101.0,0.019404037,85,1.137,76.6,0,0,10,0,0,0,0,0
1,3,22,27.0,25.0,24.0,101.1,0.019259584,85,1.138,76.1,2,160,10,0,0,0,0,0
1,3,23,25.6,24.4,23.6,101.2,0.018849552,91,1.146,73.6,3,120,10,0,0,0,0,0
1,3,24,25.1,24.1,23.4,101.2,0.018578988,92,1.148,72.4,0,0,10,0,0,0,0,0
1,4,1,24.6,23.8,23.2,101.2,0.018314221,94,1.150,71.2,1,20,10,0,0,0,0,0
1,4,2,24.6,24.0,23.4,101.0,0.018669496,95,1.147,72.1,5,30,10,0,0,0,0,0
1,4,3,24.6,24.0,23.4,100.9,0.018688813,95,1.146,72.2,8,40,4,0,0,0,0,0
1,4,4,24.3,23.3,22.6,100.7,0.017752961,92,1.147,69.5,7,40,1,0,0,0,0,0
1,4,5,24.2,23.1,22.4,100.7,0.017486434,91,1.148,68.7,8,30,0,0,0,0,0,0
1,4,6,24.4,23.4,22.7,100.7,0.017866103,92,1.146,69.9,7,30,10,42,15,2,21,14
1,4,7,24.8,23.5,22.7,100.8,0.017834549,90,1.146,70.2,7,30,8,308,160,61,410,99
1,4,8,26.0,24.5,23.6,100.8,0.018921996,89,1.139,74.2,5,50,4,602,433,340,608,93
1,4,9,27.0,25.0,24.0,100.9,0.01930067,85,1.136,76.2,4,30,4,871,627,492,734,135
1,4,10,28.3,25.6,24.3,100.8,0.019780262,81,1.129,78.8,6,40,3,1098,834,688,724,146
1,4,11,29.8,25.8,24.1,100.8,0.019487111,73,1.124,79.6,7,30,4,1266,912,715,265,196
1,4,12,30.8,25.5,23.3,100.8,0.018553712,66,1.122,78.2,6,40,8,1366,710,272,273,438
1,4,13,32.1,27.3,25.4,100.8,0.021168778,69,1.113,86.3,6,40,8,1389,722,277,281,445
1,4,14,31.9,28.5,27.1,100.7,0.023533616,78,1.108,92.1,6,50,8,1334,693,266,291,428
1,4,15,31.2,28.7,27.6,100.7,0.02422118,83,1.110,93.1,6,20,8,1205,626,240,302,386
1,4,16,29.4,27.3,26.3,100.7,0.022341593,85,1.119,86.5,7,20,8,1010,525,201,312,324
1,4,17,28.2,26.0,24.9,100.7,0.020532048,84,1.127,80.6,6,20,8,764,397,152,311,245
1,4,18,29.3,26.7,25.5,100.7,0.021297452,82,1.122,83.7,4,60,8,482,251,96,509,155
1,4,19,27.5,25.5,24.5,100.8,0.019949237,85,1.132,78.4,3,360,6,184,118,76,6,42
1,4,20,25.5,24.5,23.8,100.9,0.019113548,92,1.142,74.2,3,40,6,2,1,1,2,0
1,4,21,25.5,24.0,23.1,100.9,0.01830854,88,1.144,72.1,3,30,6,0,0,0,0,0
1,4,22,25.5,24.0,23.1,101.1,0.018269971,88,1.146,72.0,3,60,10,0,0,0,0,0
1,4,23,25.0,23.5,22.6,101.1,0.017694116,88,1.149,70.1,3,50,10,0,0,0,0,0
1,4,24,25.5,24.0,23.1,101.1,0.018269971,88,1.146,72.0,5,30,10,0,0,0,0,0
